"comparison","diff","lwr_CI","upr_CI","p_adj"
"HDR4: In_pGK1_yUKG1-HDR2: In_yStayGold",1.15193902196769,0.704567709682667,1.59931033425271,2.24043006369357e-13
"HDR5: In_pGK1_Staygold-HDR2: In_yStayGold",0.940842979723566,0.462295600070035,1.4193903593771,1.58974519104405e-08
"HDR6:In_pGK1_yStaygold-HDR2: In_yStayGold",0.442792926688621,0.0044908930571344,0.881094960320108,0.0449945538345
"HDR7:In_pTDH3_mUKG1-HDR2: In_yStayGold",1.24272936856074,0.746415459140659,1.73904327798082,3.77586850675016e-13
"HDR8: In_pTDH3_yUKG1-HDR2: In_yStayGold",1.4393962092828,1.00109417565131,1.87769824291429,1.25233157177718e-13
"HDR9: In_pTDH3_Staygold-HDR2: In_yStayGold",0.654682898141072,0.147745132747071,1.16162066353507,0.00144878966024065
"HDR4: In_pGK1_yUKG1-HDR3: In_pGK1_mUKG1",0.303771915414324,-0.214611056406012,0.82215488723466,0.775604465194932
"HDR5: In_pGK1_Staygold-HDR3: In_pGK1_mUKG1",0.0926758731702013,-0.452839854367439,0.638191600707842,0.999998745315407
"HDR6:In_pGK1_yStaygold-HDR3: In_pGK1_mUKG1",-0.405374179864743,-0.915950802031444,0.105202442301958,0.291375626763824
"HDR7:In_pTDH3_mUKG1-HDR3: In_pGK1_mUKG1",0.394562262007374,-0.166603766099731,0.955728290114478,0.496554001430477
"HDR8: In_pTDH3_yUKG1-HDR3: In_pGK1_mUKG1",0.591229102729437,0.080652480562736,1.10180572489614,0.00836573514781047
"HDR9: In_pTDH3_Staygold-HDR3: In_pGK1_mUKG1",-0.193484208412293,-0.764067867835102,0.377099451010516,0.997008509445713
"HDR5: In_pGK1_Staygold-HDR4: In_pGK1_yUKG1",-0.211096042244123,-0.673277961006119,0.251085876517873,0.9573103523755
"HDR6:In_pGK1_yStaygold-HDR4: In_pGK1_yUKG1",-0.709146095279067,-1.12951879199325,-0.288773398564882,2.81241351007822e-06
