Sample #,Section,Transformation type,Colony Color,Mean FITC (GFP),Mean FITC each group,Standard Deviation
215,A02,HDR6:In_pGK1_yStaygold,Red,"2,437.34",,
250,A02,HDR6:In_pGK1_yStaygold,Red,"2,849.35",,
326,B01,HDR6:In_pGK1_yStaygold,Red,447.65,,
346,B01,HDR6:In_pGK1_yStaygold,Red,"1,889.11",,
427,B02,HDR6:In_pGK1_yStaygold,Red,759.31,,
447,B02,HDR6:In_pGK1_yStaygold,Red,"2,721.19",,
514,C01,HDR6:In_pGK1_yStaygold,Red,"5,829.16",,
549,C01,HDR6:In_pGK1_yStaygold,Red,"1,538.43",,
550,C01,HDR6:In_pGK1_yStaygold,Red,"2,431.74",,
600,C02,HDR6:In_pGK1_yStaygold,Red,"7,268.82",,
652,C02,HDR6:In_pGK1_yStaygold,Red,"6,861.31",,
734,D01,HDR6:In_pGK1_yStaygold,Red,"5,573.56",,
759,D01,HDR6:In_pGK1_yStaygold,Red,"4,943.28",,
915,E01,HDR6:In_pGK1_yStaygold,Red,"23,839.84",,
973,E01,HDR6:In_pGK1_yStaygold,Red,"4,012.69",,
"1,014",E02,HDR6:In_pGK1_yStaygold,Red,"3,079.58",,
1054,E02,HDR6:In_pGK1_yStaygold,Red,"3,173.32",,
1129,F01,HDR6:In_pGK1_yStaygold,red,"1,735.46",,
1165,F01,HDR6:In_pGK1_yStaygold,red,"1,072.62",,
1226,F02,HDR6:In_pGK1_yStaygold,red,"3,250.64",,
1265,F02,HDR6:In_pGK1_yStaygold,red,"2,446.41",,
117,A01,HDR7:In_pTDH3_mUKG1,Red,"26,218.37","22,029.90",15909.5507
217,A02,HDR7:In_pTDH3_mUKG1,Red,"15,366.75",,
408,B02,HDR7:In_pTDH3_mUKG1,Red,"18,800.58",,
516,C01,HDR7:In_pTDH3_mUKG1,Red,"18,681.91",,
529,C01,HDR7:In_pTDH3_mUKG1,Red,"29,383.69",,
619,C02,HDR7:In_pTDH3_mUKG1,Red,"16,248.67",,
711,D01,HDR7:In_pTDH3_mUKG1,Red,"15,821.70",,
820,D02,HDR7:In_pTDH3_mUKG1,Red,"24,370.33",,
916,E01,HDR7:In_pTDH3_mUKG1,Red,"17,836.21",,
"1,017",E02,HDR7:In_pTDH3_mUKG1,Red,"73,970.99",,
1108,F01,HDR7:In_pTDH3_mUKG1,red,"9,470.41",,
1109,F01,HDR7:In_pTDH3_mUKG1,red,"13,487.03",,
1208,F02,HDR7:In_pTDH3_mUKG1,red,"11,912.78",,
1209,F02,HDR7:In_pTDH3_mUKG1,red,"16,849.22",,
119,A01,HDR8: In_pTDH3_yUKG1,Red,"51,134.88","53,872.38",77404.39572
184,A01,HDR8: In_pTDH3_yUKG1,Red,"42,199.60",,
218,A02,HDR8: In_pTDH3_yUKG1,Red,"41,782.39",,
284,A02,HDR8: In_pTDH3_yUKG1,Red,"33,203.14",,
311,B01,HDR8: In_pTDH3_yUKG1,Red,"82,358.67",,
410,B02,HDR8: In_pTDH3_yUKG1,Red,1407.86,,
519,C01,HDR8: In_pTDH3_yUKG1,Red,"50,919.29",,
